Y,X
320,0.483977
310,0.505726
300,0.5279
290,0.550448
280,0.573319
270,0.596461
260,0.619822
250,0.64335
240,0.666994
230,0.690703
220,0.714425
210,0.738108
200,0.7617
195,0.773446
190,0.78515
185,0.796806
180,0.808407
175,0.819947
170,0.831419
165,0.842817
160,0.854134
155,0.865364
150,0.8765
145,0.887536
140,0.898466
135,0.909283
130,0.919981
125,0.930553
120,0.940993
115,0.951294
110,0.96145
105,0.971454
100,0.9813
95,0.990982
90,1.000492
85,1.009826
80,1.018975
75,1.027934
70,1.036697
65,1.045256
60,1.053606
58,1.056885
56,1.06013
54,1.063339
52,1.066513
50,1.06965
48,1.072751
46,1.075814
44,1.07884
42,1.081828
40,1.084778
38,1.08769
36,1.090562
34,1.093394
32,1.096187
30,1.099396661
29,1.101309522
28,1.103158346
27,1.105049487
26,1.107091756
25,1.109436681
24,1.11235624
23,1.116483366
22,1.123834228
21,1.1391721
20,1.1476505
19,1.1574994
18,1.1689403
17,1.1822306
16,1.1976693
15,1.2156035
14.5,1.2256302
14,1.2364368
13.5,1.2480841
13,1.2606372
12.5,1.2741661
12,1.2887453
11.5,1.3044536
11,1.3213721
10.5,1.3395805
10,1.3591515
9.75,1.3694659
9.5,1.3801391
9.25,1.3911723
9,1.4025634
8.75,1.414306
8.5,1.4263886
8.25,1.4387937
8,1.4514972
7.8,1.4618539
7.6,1.4723614
7.4,1.4829966
7.2,1.4937326
7,1.5045392
6.8,1.5153829
6.6,1.5262272
6.4,1.5370328
6.2,1.5477582
6,1.5583604
5.8,1.5687954
5.6,1.5790188
5.4,1.588987
5.2,1.5986575
5,1.6079905
4.9,1.6125187
4.8,1.616949
4.7,1.6212772
4.6,1.6254997
4.5,1.629613
4.4,1.6336141
4.3,1.6375001
4.2,1.6412686
4.1,1.6449175
4,1.6484451
3.9,1.65185
3.8,1.6551312
3.7,1.6582882
3.6,1.6613206
3.5,1.6642286
3.4,1.6670126
3.3,1.6696734
3.2,1.6722122
3.1,1.6746304
3,1.6769297
2.9,1.6791122
2.8,1.6811802
2.7,1.6831363
2.6,1.6849831
2.5,1.6867238
2.4,1.6883613
2.3,1.6898991
2.2,1.6913406
2.1,1.6926893
2,1.6939488
1.95,1.6945463
1.9,1.695123
1.85,1.6956792
1.8,1.6962154
1.75,1.6967322
1.7,1.69723
1.65,1.6977092
1.6,1.6981704
1.55,1.698614
1.5,1.6990405
1.45,1.6994503
1.4,1.6998439
1.35,1.7002218
1.3,1.7005844
1.25,1.7009322
1.2,1.7012656
1.15,1.701585
1.1,1.701891
1.05,1.7021838
1,1.7024641
0.98,1.7025727
0.96,1.7026794
0.94,1.7027842
0.92,1.7028871
0.9,1.7029882
0.88,1.7030874
0.86,1.7031848
0.84,1.7032805
0.82,1.7033744
0.8,1.7034666